url,grupo_id,nome,membros
https://www.facebook.com/groups/123456789,123456789,Imóveis em Joinville,5234
https://www.facebook.com/groups/987654321,987654321,Aluguel de Imóveis SC,3456
https://www.facebook.com/groups/456789123,456789123,Imóveis Santa Catarina,2890
https://www.facebook.com/groups/789123456,789123456,Aluguel - Santa Catarina,1945
https://www.facebook.com/groups/321654987,321654987,Compra e Venda Imóveis,4123
https://www.facebook.com/groups/654321789,654321789,Aluguel Joinville Região,2156
https://www.facebook.com/groups/111222333,111222333,Imóveis Disponíveis Joinville,3567
https://www.facebook.com/groups/444555666,444555666,Aluguel de Temporada SC,1234
https://www.facebook.com/groups/777888999,777888999,Compra Imóveis Santa Catarina,2789
https://www.facebook.com/groups/101112131,101112131,Venda de Casas SC,1876
https://www.facebook.com/groups/141516171,141516171,Imóveis Comerciais SC,945
https://www.facebook.com/groups/181920212,181920212,Aluguel Apartamentos Joinville,2345
https://www.facebook.com/groups/222324252,222324252,Imóveis em Promoção,3456
https://www.facebook.com/groups/262728293,262728293,Aluguel - Região Sul,2123
https://www.facebook.com/groups/303132333,303132333,Compra Venda Imóveis Joinville,1890
https://www.facebook.com/groups/343536373,343536373,Casas para Alugar Santa Catarina,2567
https://www.facebook.com/groups/383940414,383940414,Imóveis Aluguel Joinville Centro,1234
https://www.facebook.com/groups/424344454,424344454,Apartamentos Aluguel SC,2456
https://www.facebook.com/groups/464748494,464748494,Terrenos e Imóveis,1890
https://www.facebook.com/groups/505152535,505152535,Aluguel Imóveis Região,2789
https://www.facebook.com/groups/545556575,545556575,Imóveis Premium Santa Catarina,1345
https://www.facebook.com/groups/585960616,585960616,Compra Imóveis Joinville,2156
https://www.facebook.com/groups/626364656,626364656,Aluguel Comercial SC,1567
https://www.facebook.com/groups/666768696,666768696,Imóveis Financiados,2345
https://www.facebook.com/groups/707172737,707172737,Aluguel de Imóveis Premium,1876
https://www.facebook.com/groups/747576777,747576777,Casas Santa Catarina à Venda,2890
https://www.facebook.com/groups/787980818,787980818,Imóveis Geminados,1234
https://www.facebook.com/groups/828384858,828384858,Aluguel Próximo ao Centro,2567
https://www.facebook.com/groups/868788898,868788898,Compra Imóveis com Financiamento,1945
https://www.facebook.com/groups/909192939,909192939,Aluguel Imóveis Baratos,3456
